;Producto;Usuario;Detalle Producto;Precio;Ubicacion;Fecha;Visitas;Hash;url
20;Abrigo embarazo;Maria P.;Abrigo para embarazada 40/42. Abrígate durante el embarazo sin gastarte dinero. Puedes estar de 9 meses y cerrarlo.;5 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/abrigo-embarazo-848439867
21;Abstracto ;Federica;24,7 x 34,7 cm;30 EUR;"
										
											Cagliari
										
									";"
											12-nov-2022
										";0;#Fuxia ;https://es.wallapop.com/item/abstract-848438304
22;Moto de agua;jetcenterlevante;"El titulin náutico es un permiso que tan solo requiere de 6horas de formación (2h de formación teórica y 4h de practicas) y que no requiere examen. Habilita para el gobierno de embarcaciones de recreo hasta 6 metros de eslora y para la navegación diurna de 2 millas de puerto o refugio. También habilita para llevar motos náuticas sin limite de potencia. El titulin es lo mismo que la licencia de navegación básica. FUN &amp; QUADS dispone de su propio barco y escuela y de personal cualificado con amplia experiencia.";130 EUR;"
										
											
											 Valencia";"
											12-nov-2022
										";0;#deporteacutico;https://es.wallapop.com/item/accesorios-848297817
23;Accesorios para cámara de acción;Marco S.;Accesorios para cámara de acción, depende de lo que quiera le doy el precio , todas las cosas están sin uso , si usted quiere yo mismo se lo podría instalar ACEPTO CAMBIOS Y ESCUCHO OFERTAS, NO HAGO ENVIOS;0 EUR;"
										
											
											 Almería";"
											12-nov-2022
										";0;#piezaselectrónica;https://es.wallapop.com/item/accesorios-para-camara-de-accion-848426471
24;Portatil Asus;Carles G.;Buen estado 2 gb ram y 250 gb disco duro;50 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/acer-848386055
25;Acuario;Jose Angel M.;Acuario de 60L con filtro,termostato,luz Led y accesorios.;80 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/acuario-848440221
26;Administrador de medicinas Dr. Marvin;Pilar S.;El amigo que ayuda a curarte.;9,9 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/administrador-de-medicinas-dr-marvin-848434601
27;Air Pods cascos (originales) Apple;Celestino M.;Air Pods cascos (originales) Apple Este producto es original - Su precio no es negociable- Modelo con estuche de carga inalámbrica - (no entrego ticket de compra) Ideales para usar con iPhone X XR XS 11 12 iPhone 13 Pro Max AirPods iPad etc Se encuentran. Nuevos a estrenar en su caja.;70 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/air-pods-cascos-originales-apple-848431089
28;Air-Pods pro de apple (cascos inalámbricos).;Macarena G.;Air-Pods pro de apple (cascos inalámbricos). Se aceptan envíos por wallapop preferiblemente. AirPods Pro proceden de un regalo. Proceden de cambio en garantía - no entrego ticket de compra. Ideal para iPhone X XR XS 11 12 iPhone 13 Pro Max AirPods iPad etc Artículo Precintado. Nuevo a estrenar en su caja. Precio no negociable : Totalmente Original Oficial;140 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/air-pods-pro-de-apple-cascos-inalambricos-848428233
29;Aire acondicionado 6000 frigorias;Nano N.;Hola vendo aire acondicionado de 6000 frigorias en perfectas condiciones muy poco uso con su mando original ver sin problemas un saludo;350 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/aire-acondicionado-6000-frigorias-848434740
30;AirPods de 2 generacion.;Alvaro G.;Esta en perfecto estado y apenas los he utlizado. Hago envios.;60 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/airpods-de-2-generacion-848426483
31;AirPods de tercera generación;Simone A.;"Vendo AirPods de tercera generación nunca usados, todavía en su embalaje original.
Si tiene alguna duda o pregunta no dude en ponerse en contacto conmigo, ¡siempre estoy disponible!";110 EUR;"
										
											Modena
										
									";"
											12-nov-2022
										";0;#airpods;https://es.wallapop.com/item/airpods-di-3-generazione-848436240
32;AirPods Max;Paulet;AirPods Max azules;600 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/airpods-max-848416298
33;Árbol de navidad de cerámica ;Simona C.;Artesanal;15 EUR;"
										
											Avella
										
									";"
											12-nov-2022
										";0;#artdeco;https://es.wallapop.com/item/alberello-di-natale-in-ceramica-848440063
34;Aletas Spears sail número 42/44;Jesus L.;Aletas de carbono con palas de dureza blandas. con calzante patos tallas 42/44. El precio no negociable.;90 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/aletas-spears-sail-numero-42-44-848438568
35;Alfa Romeo 156 2006;Roberto G.;Alfa Romeo 156 Sedan en León;600 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/alfa-romeo-156-2006-848321222
36;Alfa Romeo Giulia 2.2 Diesel 140kW (190CV) Executive AT;Clicars S.;Clicars, Nº 1 en Europa en venta de coches online. Compra online o ven a la mayor exposición de coches de España: 80000m2 y 1.850 coches en Av, Laboral 10, Madrid ¡Llámanos al 911 438 321 o ven a conocernos! - Fábrica de reacondicionamiento más grande de España. Todos los vehículos pasan la certificación más exigente en 250 puntos - El mejor precio garantizado, ahorra con nuestro modelo digital. Te devolvemos la diferencia - 15 días o 1000Km para probarlo. Si no te convence ¡Lo devuelves! - Entrega GRATIS en 48 horas en la puerta de tu casa - Abrimos todos los días L-V: 9:00 a 20:30, S y D: 10:00 a 19:00 - ¡Llámanos! Te atendemos al teléfono - Tu coche como parte de pago ¡Descuentos Black November! Hasta 4.300€ dto (-14%) en este coche. ¡Hasta el 20 de noviembre! Financiado: 26.190€ (desde 470€/mes) financiando el 100% Más del 70% de nuestros clientes eligen financiar ¡A tu medida! ID -170050- Coche nacional con kilometraje garantizado Luces Xenon USB Y más en ¡clicars.com!. Alfa Romeo Giulia Sedan en Madrid;"Precio al contado28.790 EURPrecio financiado
												
											26.190 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/alfa-romeo-giulia-2-2-diesel-140kw-190cv-executive-at-848136233
37;Alfombras;_;Se hace reparto gratis por algunas zonas de la comunidad de Madrid todas las medidas disponibles también en pasilleras y algún modelo redondo no dudes en contactar 40×60=7€ 60×80=8€ 60×1.10=10€ 80×1.60=15€ 1.00×1.50=20€ 1.20×1.80=30€ 1.40×2.00=35 1.60×2.30=45€ 2.00×2.30=50€ 2.00×3.00=60€ Pasilleras 67×2.50=20€ 67×3.00=30€ 67×4.00=40€;40 EUR;"
										
											
											 Madrid";"
											12-nov-2022
										";0;#alfombras;https://es.wallapop.com/item/alfombras-848437733
38;ALICATADOS;Isaac;Alicatados de todo tipo de suelo;1 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/alicatados-848410879
39;Alquiler Furgoneta Camper;Ruben G.;Vehículos de alquiler. Tenemos furgonetas Camper con todo lo necesario para pasar unos días estupendos. Se alquila mínimo 3 días. El día a 100€ temporada alta. El día a 85€ resto del año. Fianza 600 euros. Kilómetros por día 200 máximo. Solicitar fechas. Descuento del 10% alquileres superiores a 7 días. Tenemos 2 y 4 plazas. La furgoneta dispone de fucha con agua caliente, nevera, cocinas portatiles, WC portatil, calefacción estacionaria... Pedir información, también tenemos para la venta. Se entregan con ropa de cama, menaje, toallas, manguera, enchufe para cámping, mesa y sillas de exterior,.... Peugeot Boxer Furgoneta en Algarrobo-Costa;85 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/alquiler-furgoneta-camper-847331462
40;Altavoz Vieta Pro;German B.;Alta voz Vieta pro, de 18W con 12 horas de autonomía, Bluetooth, USB, Auxiliar;20 EUR;"
										
											
											 Madrid";"
											12-nov-2022
										";0;#nuevo;https://es.wallapop.com/item/alta-voz-vieta-pro-848417771
41;Altavoces PC;Marta P.;Altavoces para Ordenador sobremesa, portátil... también se puede conectar al móvil. Tienen bastante volumen para el tamaño que tiene. Poco usados, muy buen estado. Escucho ofertas.;18 EUR;"
										
											
											 Torre del Campo";"
											12-nov-2022
										";0;#altavoces;https://es.wallapop.com/item/altavoces-pc-848398275
42;Altavoces PC/PORTÁTIL;Carmela F.;Altavoces como nuevos. Para PC/Portatil. Se han usado pero están en perfecto estado. Se hacen envios;18 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/altavoces-pc-portatil-848417074
43;Altavoz Bluetooth BOSE Revolve II;Lukas T.;Altavoz inalámbrico Bose Revolve II+, Bluetooth, Botones programables, Color Gris Plata. Con base cargador. como nuevo.;130 EUR;"
										
											
											 Monteprincipe";"
											12-nov-2022
										";0;#bose;https://es.wallapop.com/item/altavoz-bluetooth-bose-revolve-ii-848420544
44;Amazfit Báscula Inteligente /composición corporal;Jose K.;Amazfit Báscula Inteligente de composición corporal báscula de pesaje personal digital con análisis inteligente 16 parámetros de composición corporal. Análisis de 16 parámetros de composición corporal: gracias al chip de procesamiento de datos de alta precisión, la báscula monitorea 16 composiciones corporales para monitorear el estado de salud, incluido el peso, el IMC, la grasa corporal, el peso magro, la grasa subcutánea, la grasa visceral, el agua corporal, el músculo esquelético, el músculo masa, masa ósea, tasa metabólica basal, proteínas, grado de grasa visceral, IMC y edad metabólica.;26 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/amazfit-bascula-inteligente-composicion-corporal-848434741
45;Amplificador wifi;lorena A.;Amplificador wifi con cable land incluido;15 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/amplificador-wifi-848424946
46;Amplificador wifi;set();Amplificador wifi con cable land incluido;15 EUR;Ninguno;Ninguno;0;Ninguno;Ninguna
47;Antena satelital náutica;Area E.;Se vende;6.000 EUR;"
										
											
											 Palma de Mallorca";"
											12-nov-2022
										";0;#bajoconsumo;https://es.wallapop.com/item/antena-satelital-nautica-848435212
48;Apple Watch serie 3 ;Antonio C.;Apple Watch Serie 3 de 38 mm, GPS;140 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/apple-watch-series-3-848429442
49;Aprilia curcuito;Pablo C.;Aprilia rs circuito preparación 85cc. rotor boxitech con cambio semiautomático y 2 curvas de potencia, carburador keihin 28, embrague reforzado, cárteres y cilindro preparado, radiador grande, bomba freno aprilia 125 , amortiguador con botella separada, escape jazen 80cc. lleva tiempo parada habría que hacerle puesta a punto. se regala algo de recambio. tf 626976568;1.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/aprilia-curcuito-848335221
50;Aprilia sxr50 49 cc;Daniel K.;Comprada este año solo tiene 550km todo de serie;2.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/aprilia-sxr50-49-cc-848406668
51;Aprilia sxr50 49 cc;set();Comprada este año solo tiene 550km todo de serie;2.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/armario-ropero-y-comoda-tambien-por-separado-848438672
52;ARNES ANTICAIDAS;Chus m.;Arnés de anclaje dorsal y frontal A*2 anticaídas. Regulable en muslos y pecho. Ajuste pectoral con hebilla metálica. Doble pasador en resina antideslizante en ajuste de pecho y piernas. Incorpora pasadores laterales para acoplar cinturón de posicionamiento. Hebillas metálicas de cierre de pestaña para una apertura más rápida y cómoda. Incorpora bolsa de transporte con ventana porta documentos. Conectar a un punto de anclaje que cumpla con los requisitos de la norma EN 795. Fabricado conforme a los requisitos del REGLAMENTO UE 2016/425. EPI CAT. III;25 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/arnes-anticaidas-848415326
53;ARNES ANTICAIDAS;set();Arnés de anclaje dorsal y frontal A*2 anticaídas. Regulable en muslos y pecho. Ajuste pectoral con hebilla metálica. Doble pasador en resina antideslizante en ajuste de pecho y piernas. Incorpora pasadores laterales para acoplar cinturón de posicionamiento. Hebillas metálicas de cierre de pestaña para una apertura más rápida y cómoda. Incorpora bolsa de transporte con ventana porta documentos. Conectar a un punto de anclaje que cumpla con los requisitos de la norma EN 795. Fabricado conforme a los requisitos del REGLAMENTO UE 2016/425. EPI CAT. III;25 EUR;Ninguno;Ninguno;0;Ninguno;Ninguna
54;Asidero Suzuki gsxr k4 k5 600-750;adrian r.;Buen estado;30 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/asidero-suzuki-gsxr-k4-k5-600-750-848365858
55;Funda Fortnite;anto BS;# Descuento en Fortnite;1,25 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/astuccio-fortnite-848438679
56;Atornillador Eléctrico Teccpo;laylu2;Atornillador Eléctrico 6N.m, TECCPO Destornillador Eléctrico, 45 Accesorios, 9 Torsión Ajustable, 2 Luz LED, Inferior como Linterna, Carga Cable USB-TDSC01P SIN ESTRENAR PRECIO AMAZON 33€;25 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/atornillador-electrico-teccpo-848435245
57;Audi A3 2004;A.D R.;"Se vende audi a3 Impecable!
-Correa de distribucion+ Kit embrague echo.
-Itv passada.
- Neuamaticos en buen estado los 4.
-Interior en perfecto estado. 
Muy buen motor coche ideal para usar a diario. Audi A3 en Granollers";2.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a3-2004-848294815
58;Audi A3 2.0 TDI 170cv quattro S-Line;Melisa B.;En venta expectacular Audi A3 TDI 170 cv quattro SLine plus del 08/2012 con 150.000 km el más alto de la gama totalmente equipado con todos los extras, faros bisenox, sensores de aparcamiento, navegador , climatizador , asientos calefactables, tapicería piel mixta , llanta 18 original , control de velocidad y un largo etc. Se puede ver y probar sin ningún compromiso atiendo por teléfono y Whatshap. Audi A3 en Calasparra;13.900 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a3-2012-848316224
59;Audi A4 2004;Daniel D.;"Coche usado por lo general en carretera.Lo vendo por que no lo uso por mi trabajo,esta cambiado la Correa de Distribución Nueva y la Bomba de Agua,los asientos son de cuero.
Se puede negociar algo el precio.Con pegatina B.
Por favor,para cualquier consulta sin compromiso puede llamar al 6 3 1 7 7 4 6 0 3 mi nombre es Daniel. Audi A4 Sedan en Madrid";3.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a4-2004-848353446
60;AUDI A5 2.0 TDI quattro S tronic Sportback, 190cv, 5p;FINANCIAUTO;IMPECABLE.NACIONAL.kilometros certificados con historial de revisiones al dia en casa oficial. Aceptamos prueba mecanica en su taller de confianza o casa oficial. ATENCION: Concretar cita antes de visitar. SUPER OFERTA para FINANCIAR: 20.900€ (Desde 260/mes) Gestion rapida y sencilla. Solo tiene que enviar su nomina o rellenar el formulario de nuestra web. Aprobamos la financiacion tambien a extrajeros, no importa si tiene contrato fijo o eventual. Financiaciones a medida para que pueda pagar el seguro del coche etc. PRECIO DEL COCHE AL CONTADO:22.900€ El IVA y la garantia esta incluido en el precio.Solo tiene que sumarle 300€ mas, que incluyen el cambio de nombre,impuestos y revision de entrega. Admitimos su vehiculo como parte del pago - maxima tasacion-segun valor del mercado. Para mas informacion visite nuestra web: financiauto.es. AUDI A5 Sedan en Parque Empresarial San Fernando de Henares;20.990 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2-0-tdi-quattro-s-tronic-sportback-190cv-5p-848138505
61;Audi 2.7 A5 2008;Stefan N.;"S-LINE
Faros xenón de cruce y largas, automáticos
Parktronic Delantero y Trasero
Cámara trasera
Multitronic 8 velocidades con levas
Start/Stop
Llantas de 20""
Neumáticos nuevos, 4ud, 265/35/20
Techo Solar Eléctrico
Asientos cuero, eléctricos y calefactables.
";11.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2-7-tdi-a5-2008-848332446
62;Audi A5 2008;Joel j.;"Coche Audi en venta. Esta con todos los extras de motor. En buenas condiciones, con muy buen mantenimiento.
El coche por dentro en perfecto estado con ningún daño. La pintura sin ningún tipo de daños. 
Puedes verlo y comprobarlo en persona.
En general no tiene ningún problema.
Precio negociable!!
Tlf: 624312379. Audi A5 Coupe en Almendralejo";11.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2008-847883585
63;Audi A5 2008;Juan M.;en perfecto estado, se podría coger coche como parte de pago. Audi A5 Coupe en Manzanares;9.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2008-848145029
64;Audi A5 2008;Juanan L.;"Audi A5 importado de Alemania con las siguientes especificaciones:
-  V6 3.0 quattro TDI
- Stage 1 hecha en Vagspeed Almería 300Cv
- Suspensión roscada H&R. Tengo la original 
- Asientos del S5, eléctricos con memoria y calefactables 
- Sistema de audio Bang&Olufsen
- Techo solar
- Parrilla S5
- Llantas BBS 19” con neumáticos nuevos
Tiene un arañazo en la aleta trasera derecha. Audi A5 Coupe en Alicante/Alacant";16.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2008-848192162
65;Audi A5 2008;Nik ..;Coche Nacional. lo compré de segunda mano hace 8 años. pintado hace menos de un año, chapa i carroceria impoluta. los interiores cuero blanco muy cuidado. asientos calefactables y electricos, llanta 19, bola enganche homologado. (llevaba portabicis). cambio automático Multitronic. bixenon. navegador original Audi MMI. libro mantenimiento y facturas de revisión. Audi A5 Coupe en Igualada;9.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2008-848286357
66;Audi A5 2008;Daniel M.;Audi a5 muy cuidado y mimado , con tacos de motor cambiados , cambio de aceite y todos los filtros nuevos , neumáticos nuevos , paragolpes RS nuevo , separadores ruedas traseras , llantas 20 replica R8 , techo panorámico solar, asientos eléctricos y calefactables , sensores delanteros y traseros , cámara estacionamiento y un sin fin de extras más . El vehículo se vende o se cambia por coche de interés ( golf gti, r32, bmw serie 3 , serie 5, etc)  . Acepto vehiculo como parte de pago. No mareantes ni ofertas ridículas . No tengo prisa por venderlo . Audi A5 Coupe en Fernan-Nuñez;12.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2008-848317867
67;Audi A5 2008;Citycar G.;Se vende precioso Audi A5 diésel en muy buenas condiciones mantenimiento al día todo es un 3.0 TDI quattro Sline. Audi A5 Coupe en Altea;9.800 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2008-848339674
68;Audi A5 2011;Jose Angel S.;Se vende Audi a5 s líne interior e exterior equipo de música profesional Gps asientos eléctricos mixtos ruedas al 90% caja cambios reparada , bomba dirección cambia , rodamientos   Todo con factura  todo al día muy buen estado . Audi A5 Coupe en Villamediana de Iregua;13.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2011-848404810
69;Audi A5 2011;Manel R.;"Buenas!
BUSCO AUDI A5 SPORTBACK diésel nacional (preferible con motor 2.0) de 5 puertas. Que sea entre el año 2009 y 2013. Que tenga como máximo poco más de 200.000k. 
No me importa el color del coche ni si es manual o automático 

El presupuesto máximo, si el coche está en buenas condiciones, es de 10.000e. Audi A5 en Premià de Mar";10.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2011-848405904
70;Audi A5 2013;Javier E.;Audi A5 Sedan en Emisora Radio Elect Campillo;18.300 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2013-848267299
71;Audi A5 2013;M M.;"Audi A5 3.0 diesel 245cv sline automático con todos los extras y muy mimado: 
-asistente de mantenimiento de carril
- adpatative cruise control
-faros led
-sensores de aparcamiento

neumaticos  nuevos, al dia de todas las revisiones. Audi A5 en Aguadulce";"Precio al contado19.990 EURPrecio financiado
												
											19.990 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2013-848270930
72;Audi A5 2013 sportback;MOU K.;Todo cambiado el coche como nuevo mejor ver y probar. Audi A5 Sedan en Alicante/Alacant;15.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2013-sportback-848439903
73;Audi A5 2014;Antonio  G.;Audi a5  sportback 2014 en perfecto estado mantenimientos al día con 220 mil km tiene todos los extras cualquier duda priv , no hago cambios por otros coches solo venta . Precio no negociable urge venta por traslado. Audi A5 en Madrid;12.990 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2014-848357106
74;Audi A5 2014;A&k A.;"AUDi a5 sportback en muy buen estado 
Vehículo nacional motor 2.0 TDI 177cv 
-S- tronic y tracción QUATTRO modelo reestyling
-S line interior exterior 
-luces delanteras Bi-xenon con diurna LED
- faros traseros LED
-tapicería mixta piel/ alcantara
-sensores de aparcamiento delanteros y traseros
-llamtas rotor 19”
- pantalla con navegador 
-climatizador automático 
-muchos extras, mejor ver y probar. Audi A5 Sedan en Reus";16.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2014-848402048
75;Audi A5 2016;Diego M.;Pintura metalizada,asientos de piel eléctricos calefactable,llantas aleación 17 pulgadas,,timón multifuncional activo a la voz ,equipo de música multimedia,radio y CD ,GPS satélite,espejos retrovisores exterior eléctrico y abatible.con aire condicionado bi zona. Audi A5 Sedan en Barcelona;23.555 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-2016-848157510
76;Audi A5 3.0tdi sline quattro 2011;Damian B.;Audi a5 sportsback 4 puertas sline perfecto estado. Audi A5 en Gandía;13.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/audi-a5-3-0tdi-sline-quattro-2011-847839213
