;Producto;Usuario;Detalle Producto;Precio;Ubicacion;Fecha;Visitas;Hash;url
10;Casco;Mari R.;Casco rosa se vende por no uso. no tiene arañazos;45 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/casco-849203672
11;Casco Astone 2861P45Y4;Casi N.;Astone RT 1200 Touring Casco Termoplástico (ABS) Doble homologación Visor Pinlock listo Aplanar la visera Forro extraíble, lavable e hipoalergénico sistema de ventilación deflector de viento protector de la nariz hebilla micrométrica fácil de desmontar Tamaño: XS (53/54) NUEVO VER IMAGEN CASI NUEVO PRECIO AMAZON:139.95€ INCLUYE CAJA ORIGINAL:SI VISUALIZAR IMÁGENES GESTIONÓ PRODUCTOS DEVUELTOS DE AMAZON. SOLO HAGO ENVIOS. NO ENTREGO EN MANO. EL PRODUCTO ESTÁ EN EL ALMACÉN DE ALICANTE;83 EUR;"
										
											
											 Barcelona";"
											15-nov-2022
										";0;#cascoastone;https://es.wallapop.com/item/casco-astone-2861p45y4-849267453
12;Casco de moto;eduardo g.;Limpio y disenfectado;50 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/casco-de-moto-849235861
13;Casco Modular Vemar;Miguel Angel A.;Casco modular negro mate vemar helmet certificado en perfectas condiciones, muy poco uso con Pantalla sistema anti-turbulencias, Forro interior extraíble y lavable, sistema de cierre con hebilla micrométrica y gafas solares integradas.;50 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/casco-modular-vemar-849214060
14;Citroen Berlingo 2013 HDI;Appcars ..;"EQUIPADO CON AIRE ACONDICIONADO, ELEVALUNAS Y CIERRES ELECTRICOS, DIRECCION ASISTIDA ETC
GARANTIA DE UN AÑO
TRANSFERENCIA INCLUIDA  
POSIBILIADAD DE TRASLADO A SU DOMICILIO SIN COSTE. Citroen Berlingo Furgoneta en Crevillent";"Precio al contado12.500 EURPrecio financiado
												
													12.500 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/citroen-berlingo-2013-hdi-849260049
15;Citroen C2 2006;Noelia B.;Funciona perfectamente, Itv en vigor hasta juliol 2023, correa distribución cambiada 2 veces, bateria y embrague nuevo. Citroen C2 en Alaior;2.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/citroen-c2-2006-849260135
16;Citroen C3 2022;Pedro;"Quieres un Renting con opción de compra o simplemente Renting.
Estás en las listas de morosos y no consigues crédito. Pues tengo la solución llámame al 605516959
Ay varios vehículos disponibles. Citroen C3 en Navalcarnero";350 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/citroen-c3-2022-849240265
17;Set de cuentakilómetros CEV o individual;Maria C.;"Velocímetro CEV para ciclomotor 
esfera redonda, 40€, individual. Esfera cuadrada 50€.";90 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/contachilometri-cev-set-o-singolo-849269590
18;Dacia Lodgy 1.5 DCI AMBIANCE;Autos J.;"Autos Jorge Castro Dacia Lodgy 1.5 Dci Ambiance 90Cv
WWW.AUTOMOVILESJORGECASTRO.COM
UNICO PROPIETARIO
KMS CERTIFICADOS
MANTENIMIENTO AL DIA 
Posee los siguientes extras:
_ABS
_Aire acondicionado
_Cierre centralizado
_Control de velocidad
_Dirección asistida
_Elevalunas eléctricos
_Ordenador de a bordo
_Teléfono Móvil
_Volante multifunción
UN AÑO DE GARANTIA INCLUIDA EN EL PRECIO... Dacia Lodgy Monovolumen en Málaga";"Precio al contado9.500 EURPrecio financiado
												
													210 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/dacia-lodgy-1-5-dci-ambiance-849272292
19;Dacia Lodgy 1.5 DCI AMBIANCE;Autos J.;"Autos Jorge Castro Dacia Lodgy 1.5 Dci Ambiance 90Cv
WWW.AUTOMOVILESJORGECASTRO.COM
UNICO PROPIETARIO
KMS CERTIFICADOS
MANTENIMIENTO AL DIA 
Posee los siguientes extras:
_ABS
_Aire acondicionado
_Cierre centralizado
_Control de velocidad
_Dirección asistida
_Elevalunas eléctricos
_Ordenador de a bordo
_Teléfono Móvil
_Volante multifunción
UN AÑO DE GARANTIA INCLUIDA EN EL PRECIO... Dacia Lodgy Monovolumen en Huelva";"Precio al contado9.500 EURPrecio financiado
												
													210 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/dacia-lodgy-1-5-dci-ambiance-849273879
20;Daewoo Kalos 2004;salma;Pegatina medioambiental para circular sin ningún problema. ITV pasada. El kit de distribución completo cambiado, 4 ruedas cambiadas este año. Radio CD. El coche va súper bien, consumo es económico y es muy cómodo de llevar. Aún le queda seguro y le dejaría. Daewoo Kalos en Madrid;1.800 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/daewoo-kalos-2004-849239732
21;Despiece de Yamaha yog rr de agua;Jose M.;Vendo piezas de Yamaha yo la tengo entera marcador motor todo;100 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/despiece-de-yamaha-yog-rr-de-agua-849243681
22;DESPIECE HONDA SH 125 2001;desguace les salines;DESPIECE COMPLETO HONDA SH 125 2001 TELF 93 895 37 00;0 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/despiece-honda-sh-125-2001-849254454
23;Despiece Vespa 1987;Ramon M.;Vendo solo por piezas, preguntar por precio y piezas al WhatsApp 697472628;10 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/despiece-vespa-1987-849271026
24;Entradas aire frontal hyosung gtr 125;Infinity Parts;Se venden entradas de aire del frontal hyosung gtr 125 en perfecto estado, disponible el resto de la moto;15 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/entradas-aire-frontal-hyosung-gtr-125-849266075
25;Escape Audi TT mk1 quatro;Esteban;Escape artesanal en perfecto estado;1.200 EUR;"
										
											
											 Montejo de la Sierra";"
											15-nov-2022
										";0;#repuestousado;https://es.wallapop.com/item/escape-audi-tt-mk1-quatro-849273111
26;Escape yasuni;Nacho M.;Se vende escape yasuni racing r3, va perfectamente. Preguntar sin compromiso;80 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/escape-yasuni-849187730
27;Fantástico Ford S-MAX 2008;AUTOS F.;"Color GRIS PLATA
-ITV: Al día
EQUIPACIÓN: Dirección asistida, aire acondicionado, climatizador, radio CD, elevalunas eléctricos, cierre centralizado, cristales tintados.
CARACTERÍSTICAS: Muy económico, mucha potencia, muy amplio, fácil de conducir. Mejor verlo y probarlo, se encuentra en excelentes condiciones. 
GARANTÍA: 12 meses en motor y caja de cambios. Ford S-MAX Monovolumen en Cártama";6.300 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/fantastico-ford-s-max-2008-849263161
28;Ford Transit 2010;Serva M.;Modelo oxygen ,  capuchina 4 plazas viajar , camas grandes de matrimonio , salon control de velocidad y audio , mas extra .;9.800 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/ford-transit-2010-849237572
29;Goma filtro aire vespa lx 125;Infinity Parts;Se vende goma de la caja del filtro de aire vespa lx 125, disponible el resto de la moto;10 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/goma-filtro-aire-vespa-lx-125-849266816
30;Guantes Motocicleta (M-ZONE).;Alejandro S.;Guantes motocicleta de la marca M-ZONE. Muy poco uso, casi nulo. Se encuentra en perfectas condiciones. Materia muy resistente a caídas y muy agradable para climas fríos, por su material de du interior. Talla L.;20 EUR;"
										
											
											 La Soledad";"
											15-nov-2022
										";0;#guantesmotos;https://es.wallapop.com/item/guantes-motocicleta-m-zone-849266534
31;Guarda barro delantero honda pcx 125 2014;gilberto;De segunda mano en buen estado tuene algunos arañazos del uso referencia 61100-k35-v001;40 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/guarda-barro-delantero-honda-pcx-125-2014-849250743
32;Hola CBR 1000rr;alfredo l.;Moto honda CBR 1000rr Repsol del 2005 todo al día . 68000 km;3.800 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/hola-cbr-1000rr-849232983
33;HONDA CBF 125;Mundimoto S.;HONDA CBF 125 - Año: 2011 - Kilómetros: 10000 - Garantía: 1 año - Precio: 1690 (no negociable) - Tipo: TOURING - Carnet: A1 // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;1.690 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-cbf-125-849181646
34;HONDA CBF 125;Mundimoto V.;HONDA CBF 125 - Año: 2011 - Kilómetros: 10000 - Garantía: 1 año - Precio: 1690 (no negociable) - Tipo: TOURING - Carnet: A1 // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;1.690 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-cbf-125-849181656
35;HONDA CBF 125;Mundimoto B.;HONDA CBF 125 - Año: 2011 - Kilómetros: 10000 - Garantía: 1 año - Precio: 1690 (no negociable) - Tipo: TOURING - Carnet: A1 // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;1.690 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-cbf-125-849181812
36;HONDA CBR 1000RR Fireblade;Mundimoto S.;HONDA CBR 1000RR Fireblade - Año: 2011 - Kilómetros: 24000 - Garantía: 1 año - Precio: 9190 (no negociable) - Tipo: SPORT - Carnet: A // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;9.190 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-cbr-1000rr-fireblade-849181619
37;HONDA CBR 1000RR Fireblade;Mundimoto V.;HONDA CBR 1000RR Fireblade - Año: 2011 - Kilómetros: 24000 - Garantía: 1 año - Precio: 9190 (no negociable) - Tipo: SPORT - Carnet: A // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;9.190 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-cbr-1000rr-fireblade-849181624
38;HONDA CBR 1000RR Fireblade;Mundimoto B.;HONDA CBR 1000RR Fireblade - Año: 2011 - Kilómetros: 24000 - Garantía: 1 año - Precio: 9190 (no negociable) - Tipo: SPORT - Carnet: A // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;9.190 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-cbr-1000rr-fireblade-849181771
39;HONDA INTEGRA 700;luis alberto m.;HONDA INTEGRA 700 semiautomática en perfectas condiciones y con todos los mantenimientos al día, escape leo vince pilotos traseros de leds luces delanteras de leds maleta original de honda dispongo del escape y luces trasera de origen, recien cambiado aceite filtro pastillas de freno y ruedas con 300km;4.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-integra-700-849200341
40;HONDA PCX 125;Mundimoto B.;HONDA PCX 125 - Año: 2014 - Kilómetros: 9000 - Garantía: 1 año - Precio: 2790 (no negociable) - Tipo: SCOOTER - Carnet: A1 // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Envío GRATIS en toda la Península. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio. Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales. *La moto ESTÁ en las instalaciones de BARCELONA*;2.790 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-pcx-125-849181687
41;Honda trx 400 ex sportrax;Tinin M.;Se vende honda trx 400 año 2006 con manillar y torretas, manetas asv, parrillas, defensa, rodillo , escape Thunder homologado, eje de competición, arrastres y cadena con 500km, cubremanos, ruedas traseras prácticamente nuevas ,separadores delanteros y traseros, Itv para 2 años , único dueño . Se entregaría con kit supermotard completo (llantas , gomas y bieletas de rebaje de suspensión). NO CAMBIO Y NO NEGOCIO.;3.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/honda-trx-400-ex-sportrax-849184318
42;Horquillas Kymco CK 125cc;EcoParts Store  4.;Horquilla, barras o suspension delantera, tija, tijas en buen estado, de Kymco CK, motor Kimco 125 cc Cualquier duda preguntar, tengo despiece completo de esta moto. Envíos a toda España en 24/48h. si quieres ver mas piezas de esta moto busca en wallapop el siguiente código: D26KC;80 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/horquillas-kymco-ck-125cc-849267124
43;Hyundai Coupe 2004;Alba;Pegatina medioambiental para circular sin ningún problema. ITV pasada. El kit de distribución completo cambiado, 4 ruedas cambiadas este año. Radio CD. El coche va súper bien, consumo es económico y es muy cómodo de llevar. Aún le queda seguro y le dejaría. Hyundai Coupe Coupe en Madrid;1.400 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/hyundai-coupe-2004-849241387
44;Jog R;Andres L.;Yamaha (Jog R) en muy buen estado y regalo cilindro Vespa nuevo .precio negociable!;700 EUR;"
										
											
											 Fuengirola";"
											15-nov-2022
										";0;#yamaha;https://es.wallapop.com/item/jog-r-849190310
45;Jog r;Francisco  B.;Jog r en perfecto estado ITV hasta 2024 Durmiendo en garaje siempre Más información por privado:620021565;1.700 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/jog-r-849244753
46;Kawasaki Versys 650 Tourer por A2;Unai  .;Es de 2016, moto como nueva, con Kit Tourer. Se puede regular para A2, tiene 30.000 km, no tiene daños ni mucho menos, duerme en garaje con funda.;3.300 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/kawasaki-versys-650-tourer-por-a2-849240698
47;Land Rover Santana 1990;rodolfo f.;Ninguno;16.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/land-rover-santana-1990-849232187
48;Lote;Heysel Carolina M.;Lote;20 EUR;"
										
											
											 Polinya";"
											15-nov-2022
										";0;#mod;https://es.wallapop.com/item/lote-849240299
49;Mercedes-Benz Clase C 2005;Orlando C.;Vehículo con motor en buen estado,No tiene ITV por fallo de sensor SRS, turbo nuevo, aceite y filtros hechos hace poco, interior desgastado y algún que otro arañazo en los paragolpes, techo solar, perfecto si buscas coche para invertir un poco en él y sacarle más partido por ello el precio, no rebajo más así que no perder el tiempo intentando regatear. Mercedes-Benz Clase C Sedan en Cornella de Llobregat;2.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mercedes-benz-clase-c-2005-849235609
50;Mercedes-Benz Clase C 2007;Automóviles d.;Mercedes Clase C220 Funcionando perfectamente de motor y caja de cambios con todos los mantenimientos al día y ITV… Todos los extras volante multifuncion, control de velocidad y limitador, climatizador, asientos calefactables, llantas de aluminio etc,,, Lo único que abría que tapizar los dos asientos delanteros. Mercedes-Benz Clase C Sedan en Huercal-Overa;2.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mercedes-benz-clase-c-2007-849240776
51;Mercedes-Benz Viano 2014;Mónica M.;"Asientos con calefacción y delanteros giratorios.
Bola de enganche westfalia
Regulador de velocidad. Mercedes-Benz Viano Monovolumen en Albolote";18.500 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mercedes-benz-viano-2014-849265227
52;Mercedes-Benz Vito 2007 115CV 150cv FLAMANTE ESTADO;Elias M.;¡¡¡  SE VENDE !!! MERCEDES-BENZ VITO 115 CDI  150 CV 6 VELOCIDADES TIENE UNA FUERZA IMPRESIONANTE UN UTILIZADA PARA USO FAMILIAR LOS KM ESTAN REALIZADO INTEGRAMENTE EN AUTOVIA SUPER CUIDADA I MANTENIDA AL DETALLE 2 LLAVES TODOS LOS LIBROS 7 PLAZAS HOMOLOGADA PARA 9 GUARDADA SIEMPRE EN PARQUING PRIVADO DISPONE DEL DISTINTIVO MEDIOAMBIENTAL B ES EL MOTOR 2.2 CDI EL MEJOR MOTOR DE MERCEDES INTERMINABLE TODAS LAS EXTRAS PERFECTA PARA PASAJEROS CAMPERIZAR O TRABAJAR. SE ENTRAGA CON 12 MESES DE GARANTIA. Mercedes-Benz Vito Furgoneta en Sant Quirze del Vallès;9.900 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mercedes-benz-vito-2007-115cv-150cv-flamante-estado-849226127
53;Mercedes-Benz Vito 2012;Appcars ..;"TE LO LLEVAMOS A CUALQUIER PUNTO DE LA PENINSULA SIN COSTE 
DESINFECTADO
TE ENVIAMOS FOTOS Y VIDEO POR WASAP
COGEMOS TU COCHE COMO FORMA DE PAGO
NO NEGOCIABLE
FINANCIACIÓN 100% 
GARANTIA MECANICA DE UN AÑO
VISITANOS EN WWW.AUTOCARCASABLANCA.ES. Mercedes-Benz Vito Furgoneta en Crevillent";"Precio al contado18.500 EURPrecio financiado
												
													18.500 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mercedes-benz-vito-2012-849264821
54;Mercedes E320 CDI Automático;Jesús F.;Vendo mi Mercedes E320 CDI Avantgarde automático por cambio a Suv.Se encuentra en un estado muy bueno,se ha cuidado mucho,kms en autovia,acepto prueba mecánica sin problema,va genial.Modelo alto de gama,con faros de xenon,control de velocidad,a/c bizona,sensores de aparcamiento delanteros y traseros,airbags frontales,de techo,laterales,en las puertas...asientos eléctricos,limitador,manos libres,cambio automático secuencial,apertura maletero automática,alarma,etc...Mejor verlo y probarlo,el coche va perfecto y se ha cuidado mucho.No compraventas mareantes por favor.No me interesan cambios. Mercedes-Benz Clase E Sedan en León;1.850 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mercedes-e320-cdi-automatico-849239987
55;MINI Coupé 2007;Estrella S.;MINI Coupé Coupe en La Carolina;4.600 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mini-coupe-2007-849267844
56;MINI Mini 2009;AUTOS F.;"Color AZUL
Como nuevo!
Estado impecable (Chapa, pintura, motor... etc). ITV en vigor.
EQUIPACIÓN: Dirección asistida, aire acondicionado, radio CD, elevalunas eléctricos,  muy poco consumo.
CARACTERÍSTICAS: A prueba de todo, mejor verlo y probarlo.  Se encuentra en excelentes condiciones.
GARANTÍA: 12 meses en motor y caja de cambios. MINI Mini en Cártama";7.800 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/mini-mini-2009-849259396
57;MOTO;Javier S.;SUZUKI DR 800 BIG, en perfecto estado, ITV al día, reglaje de válvulas, retenes de amortiguación hechos. Protecciones de motor, lámparas exploradoras, escape original y vinilos del modelo, nuevos. Moto clásica para disfrutarla a diario.;2.750 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/moto-849232838
58;Moto de batería;Sabina D.;Nueva solo un ratito de uso;100 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/moto-de-bateria-849234642
59;Motor suzuki fuera borda 4 cv;Prueba P.;Nuevo;300 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/motor-suzuki-fuera-borda-4-cv-849205037
60;Opel Corsa 2007 gasolina pegatina C;pedro M.;vendo mi Opel corsa 1.4 gasolina 90 CV  con distribución y embrague cambiada , revisión hecha ITV recién hecha hasta 07/2023. va perfecto. funciona todo perfecto . pegatina C para circular por barcelona. Opel Corsa en Barcelona;4.200 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/opel-corsa-2007-gasolina-pegatina-c-849252097
61;Opel Vectra 2005;Florentino P.;se vende recién pintado le pasaría la itv antes de llevárselo 6 velocidades gts  en perfectas condiciones mejor ver y probar. Opel Vectra Familiar en Sevilla;"Precio al contado2.700 EURPrecio financiado
												
													2.700 EUR";Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/opel-vectra-2005-849234554
62;Parking en Alquiler en Barberá del Vallés;Manolo S.;"Particular pone plazas de Parking en alquiler, para Moto Grandes, Medianas, Pequeñas y quads,.... ....VARIAS MEDIDAS.... LARGO 2´20 cms x Ancho 1`20 cms..35€.. LARGO 1´90 cms x Ancho 1 m..25€ LARGO 1´60 cms x Ancho 0'70cms..20€ Para quads llamar y preguntar precio, (Doctor Moragas,Ayuntament) (zona centro) Barbera del Valles...Telefono..&nbsp;&nbsp;615140072&nbsp;&nbsp;";25 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/parking-en-alquiler-en-barbera-del-valles-849225519
63;Parte Honda Deauville 650cc;EcoParts Store  4.;En buen estado, de Honda Deauville NT, motor Honda 650 cc del año 2000 Cualquier duda preguntar, tengo despiece completo de esta moto. Envíos a toda España en 24/48h. si quieres ver mas piezas de esta moto busca en wallapop el siguiente código: F25HD;10 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/parte-honda-deauville-650cc-849265285
64;Patinete eléctrico Aprilia eSR1;Ruben G.;Con un limite de hasta 25 km/h, es plegable perfecta para transportarla en guagua y coches, ya que también es ligera con un peso de 15 kilos, freno de disco atrás y adelante tiene un generador que va frenando cuando frenas, luces led adelante y atrás, batería que se puede extraer perfecta por si te compras una batería aparte para trayectos largos y con una batería podrás recorrer hasta 25 km sin problemas. Tiene un golpe en el contador pero va perfecto y el manillar un poco cambado por culpa de que se me cayó transportándola pero funciona a la perfección a día de hoy la sigo utilizando esos detalles cualquier mecánico lo soluciona fácil.;380 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/patinete-electrico-aprilia-esr1-849242676
65;Peugeot 206 2003;j m.;Peugeot 206 en Verín;600 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/peugeot-206-2003-849257661
66;Peugeot 206 2003;j m.;Peugeot 206 en Verín;600 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/peugeot-206-2003-849258533
